questions,answers,
Which Star Wars movie was the first to use Darth Vader's theme (imperial march)?,Empire Strikes Back,
Who is playing Mario in the new Super Mario Bros. movie?,Chris Pratt,
Who created Spongebob Squarepants?,Stephen Hillenburg,
What was Spider-Man's first appearance?,Amazing Fantasy#15,
Who is the main character in the Lord of the Rings books?,Frodo Baggins,
What's the name of the planet in Dune?,Arrakis,
Where is the first Foundation located in Asimov's series?,Terminus,
How long is an Olympic swimming pool (in meters)?,50,
Demolition of the Berlin wall separating East and West Germany began in what year?,1989,
Which country consumes the most chocolate per capita?,Switzerland,
Which is the only edible food that never goes bad?,Honey,
Which country invented ice cream?,China,
What country has the most natural lakes?,Canada,
The name of which African animal means ""river horse""?,Hippopotamus,
What is the hottest planet in the solar system?,Venus,
Iceland diverted roads to avoid disturbing communities of what?,Elves,
Who invented the word ""vomit""?,Shakespeare,
What is the painting "La Gioconda" more usually known as?,Mona Lisa,
Pure water has a pH level of around?,7,
How many bones do sharks have in their bodies?,0,
The fear referred to as arachnophobia indicates a fear of what?,Spiders,
Who was the first person in space?,Yuri Gagarin,
Which constellation is also known as M31?,Andromeda,
What was the first kpop group to perform at Coachella?,Blackpink